2026-03-07 18:34:24,452 | INFO | Trainable parameters: 1,622,016 (0.26%)
2026-03-07 18:34:24,452 | INFO | Starting training...
2026-03-07 18:42:05,079 | INFO | ========== FINETUNING STARTED ==========
2026-03-07 18:42:05,079 | INFO | Loading dataset...
2026-03-07 18:42:06,944 | INFO | Loaded 330967 samples
2026-03-07 18:42:06,944 | INFO | Splitting dataset (95/5)...
2026-03-07 18:42:07,812 | INFO | Train samples: 314418
2026-03-07 18:42:07,812 | INFO | Validation samples: 16549
2026-03-07 18:42:07,850 | INFO | Building training configuration...
2026-03-07 18:42:07,894 | INFO | Configuration ready
2026-03-07 18:42:07,894 | INFO | Initializing trainer...
2026-03-07 18:42:08,016 | INFO | Experiment directory: /home/chandan/ASRProject/models/orthographic_finetune_nemo/ASR-Adapter/2026-03-07_18-42-07
2026-03-07 18:42:08,016 | INFO | Loading pretrained model...
2026-03-07 18:42:22,412 | INFO | Model loaded successfully
2026-03-07 18:42:22,412 | INFO | Configuring adapters...
2026-03-07 18:42:32,398 | INFO | Total parameters: 619,447,942
2026-03-07 18:42:32,398 | INFO | Trainable parameters: 1,622,016 (0.26%)
2026-03-07 18:42:32,398 | INFO | Starting training...
2026-03-08 00:12:20,686 | INFO | Training finished
2026-03-08 00:12:20,687 | INFO | Starting evaluation...
2026-03-08 00:12:20,687 | INFO | Loading checkpoint: /home/chandan/ASRProject/models/orthographic_finetune_nemo/ASR-Adapter/2026-03-07_18-42-07/checkpoints/ASR-Adapter.nemo
2026-03-08 00:12:38,688 | INFO | Running inference on 16549 files
2026-03-08 00:21:18,209 | INFO | Validation WER: 0.1455
2026-03-08 00:21:18,210 | INFO | Sample predictions:
2026-03-08 00:21:18,210 | INFO | REF:  weird
2026-03-08 00:21:18,210 | INFO | PRED: weird
2026-03-08 00:21:18,210 | INFO | REF:  um not really
2026-03-08 00:21:18,210 | INFO | PRED: um but not really
2026-03-08 00:21:18,210 | INFO | REF:  weird
2026-03-08 00:21:18,210 | INFO | PRED: weird
2026-03-08 00:21:18,210 | INFO | REF:  grass
2026-03-08 00:21:18,210 | INFO | PRED: grass
2026-03-08 00:21:18,210 | INFO | REF:  slide
2026-03-08 00:21:18,210 | INFO | PRED: slide
2026-03-08 00:21:18,233 | INFO | ========== FINETUNING COMPLETE ==========
